regio2,regio3,baseRent,totalRent,livingSpace,noRooms,balcony,hasKitchen,newlyConst,yearConstructed,price_per_sqm
Köln,Kalk,680.0,800.0,68.0,3.0,False,False,False,1900.0,10.0
Gelsenkirchen,Bismarck,319.02,470.0,61.35,2.5,False,False,False,1993.0,5.199999999999999
Hagen,Wehringhausen,454.0,693.0,82.0,3.0,True,False,False,1975.0,5.536585365853658
Köln,Lindenthal,369.0,459.0,23.1,1.0,False,True,False,,15.974025974025974
Gelsenkirchen,Hassel,346.0,572.0,79.5,4.0,False,False,False,1926.0,4.352201257861635
Düsseldorf,Hamm,760.0,960.0,68.0,2.5,True,False,False,1994.0,11.176470588235293
Viersen_Kreis,Viersen,251.82,497.82,56.37,2.0,True,False,False,1975.0,4.467269824374667
Düsseldorf,Flingern_Süd,957.0,1151.95,70.89,2.0,True,False,True,2018.0,13.499788404570461
Rhein_Sieg_Kreis,Niederkassel,350.0,500.0,56.0,2.0,False,False,False,,6.25
Mülheim_an_der_Ruhr,Mitte,680.0,930.0,110.0,3.0,True,False,False,1998.0,6.181818181818182
Neuss_Rhein_Kreis,Grevenbroich,428.0,598.0,69.0,3.0,False,False,False,,6.202898550724638
Unna_Kreis,Werne,1070.0,1260.0,129.0,3.0,True,True,False,1905.0,8.294573643410853
Düren_Kreis,Düren,599.0,699.0,66.0,2.0,False,False,False,,9.075757575757576
Krefeld,Stadtmitte,495.0,675.0,70.0,3.0,False,False,False,,7.071428571428571
Dortmund,Innenstadt,610.0,,61.0,2.0,False,True,False,,10.0
Rhein_Sieg_Kreis,Troisdorf,411.01,643.01,84.0,3.0,True,False,False,1985.0,4.89297619047619
Neuss_Rhein_Kreis,Neuss,745.0,1007.0,78.46,3.0,True,False,False,1963.0,9.495284221259242
Duisburg,Vierlinden,420.0,636.0,61.0,2.0,True,False,False,1969.0,6.885245901639344
Heinsberg_Kreis,Wassenberg,351.65,501.75,66.98,2.0,True,False,False,2017.0,5.250074649148999
Dortmund,Wichlinghofen,490.0,650.0,62.0,3.0,False,False,False,1975.0,7.903225806451613
Neuss_Rhein_Kreis,Kaarst,810.0,1060.0,95.0,4.0,True,False,False,,8.526315789473685
Unna_Kreis,Bergkamen,395.0,625.0,60.0,3.0,True,True,False,1956.0,6.583333333333333
Köln,Merkenich,495.0,635.0,54.0,2.0,False,False,False,,9.166666666666666
Hagen,Vorhalle,299.0,467.0,66.6,2.0,False,False,False,1954.0,4.48948948948949
Essen,Werden,360.0,510.0,42.22,2.0,False,False,False,,8.526764566556135
Wesel_Kreis,Hamminkeln,790.0,,90.4,3.5,True,False,True,2019.0,8.738938053097344
Minden_Lübbecke_Kreis,Porta_Westfalica,690.0,840.0,85.65,3.0,True,False,False,,8.056042031523642
Märkischer_Kreis,Iserlohn,421.85,,79.0,3.0,True,False,False,1972.0,5.3398734177215195
Köln,Lindenthal,1900.0,2500.0,104.0,3.0,True,False,False,1982.0,18.26923076923077
Dortmund,Innenstadt,425.0,520.0,50.0,2.0,True,True,False,1956.0,8.5
